From Timestamp;TotalUsage;NetUsage;ProductionWKK;TotalChiller;RemainingUsage;PricesElec;ExtraCost;TotalPrices;ChillerBanks
1/01/2022 0:00;2650;1260;1390;721;1929;82,02;50;166,3;2100
1/01/2022 1:00;2600;1210;1390;707;1893;67,07;50;141,7;1800
1/01/2022 2:00;2380;990;1390;710;1670;75,11;50;123,9;2000
1/01/2022 3:00;2000;610;1390;702;1298;50,91;50;61,6;2000
1/01/2022 4:00;1960;570;1390;438;1522;37,67;50;50;900
1/01/2022 5:00;1950;560;1390;4;1946;39,7;50;50,2;0
1/01/2022 6:00;1990;600;1390;124;1866;40,59;50;54,4;0
1/01/2022 7:00;1940;550;1390;21;1919;43,26;50;51,3;0
1/01/2022 8:00;2000;610;1390;12;1988;49,66;50;60,8;0
1/01/2022 9:00;2010;620;1390;1;2009;70,05;50;74,4;0
1/01/2022 10:00;1990;600;1390;1;1989;76,79;50;76,1;0
1/01/2022 11:00;2070;680;1390;1;2069;84,1;50;91,2;0
1/01/2022 12:00;2070;680;1390;2;2068;94,74;50;98,4;0
1/01/2022 13:00;2050;660;1390;1;2049;96,8;50;96,9;0
1/01/2022 14:00;2090;700;1390;1;2089;97,17;50;103;0
1/01/2022 15:00;2070;680;1390;3;2067;95,21;50;98,7;0
1/01/2022 16:00;2050;660;1390;2;2048;111,66;50;106,7;0
1/01/2022 17:00;2060;670;1390;1;2059;149,97;50;134;0
1/01/2022 18:00;2000;610;1390;2;1998;146,33;50;119,8;0
1/01/2022 19:00;1970;580;1390;1;1969;140,28;50;110,4;0
1/01/2022 20:00;1920;530;1390;1;1919;121,88;50;91,1;0
1/01/2022 21:00;1880;490;1390;2;1878;102,61;50;74,8;0
1/01/2022 22:00;2140;750;1390;233;1907;97,46;50;110,6;700
1/01/2022 23:00;2580;1190;1390;715;1865;85,16;50;160,8;1900
2/01/2022 0:00;2580;1190;1390;710;1870;57,08;50;127,4;1900
2/01/2022 1:00;2560;1170;1390;715;1845;52,59;50;120;2000
2/01/2022 2:00;2350;960;1390;711;1639;48,97;50;95;1800
2/01/2022 3:00;2050;660;1390;585;1465;34,94;50;56,1;1500
2/01/2022 4:00;2040;650;1390;1;2039;29,56;50;51,7;0
2/01/2022 5:00;2000;610;1390;92;1908;33,97;50;51,2;0
2/01/2022 6:00;2030;640;1390;64;1966;34,52;50;54,1;0
2/01/2022 7:00;1980;590;1390;98;1882;41,8;50;54,2;0
